--- watch ---
3-gatsu no Lion | Akari Kawamoto 🚫 ($disable)
WWW.Working!! | Daisuke Higashida 🚫 ($disable)
WWW.Working!! | Hana Miyakoshi 🚫 ($disable)
WWW.Working!! | Masahiro Adachi 🚫 ($disable)
WWW.Working!! | Sayuri Muranushi 🚫 ($disable)
WWW.Working!! | Shiho Kamakura 🚫 ($disable)
WWW.Working!! | Yuuta Shindou 🚫 ($disable)
Ya Boy Kongming! | Eiko Tsukimi 🚫 ($disable)
Ya Boy Kongming! | Zhuge Kongming (YBK) 🚫 ($disable)
Yuri is My Job! | Hime Shiraki 🚫 ($disable)
Yuri is My Job! | Kanoko Mamiya 🚫 ($disable)
Yuri is My Job! | Mitsuki Yano 🚫 ($disable)
Yuri is My Job! | Sumika Tachibana 🚫 ($disable)
Zetsuen no Tempest | Aika Fuwa 🚫 ($disable)
Zetsuen no Tempest | Evangeline Yamamoto 🚫 ($disable)
Zetsuen no Tempest | Hakaze Kusaribe 🚫 ($disable)
Zetsuen no Tempest | Junichirou Hoshimura 🚫 ($disable)
Zetsuen no Tempest | Mahiro Fuwa 🚫 ($disable)
Zetsuen no Tempest | Megumu Hanemura 🚫 ($disable)
Zetsuen no Tempest | Natsumura Kusaribe 🚫 ($disable)
Zetsuen no Tempest | Samon Kusaribe 🚫 ($disable)
Zetsuen no Tempest | Yoshino Takigawa 🚫 ($disable)
Zutto Mae Kara Suki Deshita | Akari Hayasaka 🚫 ($disable)
Zutto Mae Kara Suki Deshita | Haruki Serizawa 🚫 ($disable)
Zutto Mae Kara Suki Deshita | Hina Setoguchi 🚫 ($disable)
Zutto Mae Kara Suki Deshita | Ken Shibasaki 🚫 ($disable)
Zutto Mae Kara Suki Deshita | Koutarou Enomoto 🚫 ($disable)
Zutto Mae Kara Suki Deshita | Koyuki Ayase 🚫 ($disable)
Zutto Mae Kara Suki Deshita | Midori Hamanaka 🚫 ($disable)
Zutto Mae Kara Suki Deshita | Minami (HW) 🚫 ($disable)
Zutto Mae Kara Suki Deshita | Miou Aida 🚫 ($disable)
Zutto Mae Kara Suki Deshita | Mona Narumi 🚫 ($disable)
Zutto Mae Kara Suki Deshita | Natsuki Enomoto 🚫 ($disable)
Zutto Mae Kara Suki Deshita | Saku Akechi 🚫 ($disable)
Zutto Mae Kara Suki Deshita | Sena Narumi 🚫 ($disable)
Zutto Mae Kara Suki Deshita | Souta Mochizuki 🚫 ($disable)
Zutto Mae Kara Suki Deshita | Yui (HW) 🚫 ($disable)
Zutto Mae Kara Suki Deshita | Yuu Setoguchi 🚫 ($disable)

--- maybe ---
180 Byou de Kimi no Mimi wo Shiawase ni Dekiru ka? | Akari Sawake
180 Byou de Kimi no Mimi wo Shiawase ni Dekiru ka? | Shusui Kagami
Alps no Shoujo Heidi | Heidi
Animegataris | Arisu Kamiigusa 🚫 ($serverdisable)
Animegataris | Beibei Yang 🚫 ($serverdisable)
Animegataris | Erika Aoyama 🚫 ($serverdisable)
Animegataris | Kouki Nakano
Animegataris | Masato Gomon
Animegataris | Maya Asagaya
Animegataris | Miko Kouenji 🚫 ($serverdisable)
Animegataris | Minoa Asagaya 🚫 ($serverdisable)
Animegataris | Tsubaki Akabane
Animegataris | Yui Obata (AG) 🚫 ($serverdisable)
Beelzebub | Aoi Kunieda 🚫 ($disable)
Beelzebub | Hildegard 🚫 ($disable)
Bishounen Tanteidan | Mayumi Doujima 🚫 ($disable)
Boku wa Tomodachi ga Sukunai | Maria Takayama 🚫 ($disable)
Boku wa Tomodachi ga Sukunai | Yozora Mikazuki 🚫 ($disable)
Bokura wa Minna Kawai-sou | Mayumi Nishikino
Bokura wa Minna Kawai-sou | Sayaka Watanabe
Bokutachi wa Benkyou ga Dekinai | Asumi Kominami 🚫 ($disable)
Bokutachi wa Benkyou ga Dekinai | Fumino Furuhashi 🚫 ($disable)
Bokutachi wa Benkyou ga Dekinai | Miharu Kirisu 🚫 ($disable)
Cencoroll | Yuki (Cencoroll)
Cencoroll Connect | Kaname (CC)
Classroom of the Elite | Airi Sakura 🚫 ($disable)
Classroom of the Elite | Akane Tachibana 🚫 ($disable)
Classroom of the Elite | Arisu Sakayanagi 🚫 ($disable)
Classroom of the Elite | Chiaki Matsushita 🚫 ($disable)
Classroom of the Elite | Chie Hoshinomiya 🚫 ($disable)
Classroom of the Elite | Chihiro Shiranami 🚫 ($disable)
Classroom of the Elite | Fuuka Kiryuuin 🚫 ($disable)
Classroom of the Elite | Haruka Hasebe 🚫 ($disable)
Classroom of the Elite | Haruki Yamauchi 🚫 ($disable)
Classroom of the Elite | Honami Ichinose 🚫 ($disable)
Classroom of the Elite | Ichika Amasawa 🚫 ($disable)
Classroom of the Elite | Kikyou Kushida 🚫 ($disable)
Classroom of the Elite | Kokoro Inogashira 🚫 ($disable)
Classroom of the Elite | Mako Amikura 🚫 ($disable)
Classroom of the Elite | Masumi Kamuro 🚫 ($disable)
Classroom of the Elite | Maya Satou 🚫 ($disable)
Classroom of the Elite | Mei-Yu Wang 🚫 ($disable)
Classroom of the Elite | Nazuna Asahina 🚫 ($disable)
Classroom of the Elite | Nene Mori 🚫 ($disable)
Classroom of the Elite | Sae Chabashira 🚫 ($disable)
Classroom of the Elite | Satsuki Shinohara 🚫 ($disable)
Classroom of the Elite | Takeko Nishino 🚫 ($disable)
Classroom of the Elite | Tsubaki Sakurako 🚫 ($disable)
Code Geass: Hangyaku no Lelouch | Suzaku Kururugi 🚫 ($disable)
Dance with Devils | Azuna Kuzuha 🚫 ($disable)
Dance with Devils | Lindo Tachibana 🚫 ($disable)
Dance with Devils | Ritsuka Tachibana 🚫 ($disable)
Danna ga Nani wo Itteiru ka Wakaranai Ken | Hajime Tsunashi 🚫 ($disable)
Danna ga Nani wo Itteiru ka Wakaranai Ken | Kaoru Tsunashi 🚫 ($disable)
Darling in the FranXX | Ai (DitF) 🚫 ($disable)
Darling in the FranXX | Ikuno 🚫 ($disable)
Darling in the FranXX | Kokoro 🚫 ($disable)
Darling in the FranXX | Miku (DitF) 🚫 ($disable)
Darling in the FranXX | Nana (DitF) 🚫 ($disable)
Darling in the FranXX | Naomi (DitF) 🚫 ($disable)
Darling in the FranXX | Nine Delta 🚫 ($disable)
Date A Live | Kaguya Yamai 🚫 ($disable)
Date A Live | Mio Takamiya 🚫 ($disable)
Deatte 5 Byou de Battle | Kashii Rin 🚫 ($disable)
Deatte 5 Byou de Battle | Yuri Amagake 🚫 ($disable)
Deji Meets Girl | Ichirou Suzuki (DMG)
Dog Days | Brioche d'Arquien 🚫 ($disable)
Dog Days | Couvert Eschenbach Pastillage 🚫 ($disable)
Dog Days | Leonmitchelli Galette des Rois 🚫 ($disable)
Dog Days | Millhiore Firianno Biscotti 🚫 ($disable)
Dog Days | Noir VinoCacao 🚫 ($disable)
Dog Days | Rebecca Anderson 🚫 ($disable)
Dog Days | Yukikaze Panettone 🚫 ($disable)
Domestic na Kanojo | Ayano (DnK) 🚫 ($disable)
Domestic na Kanojo | Hina Tachibana 🚫 ($disable)
Domestic na Kanojo | Jun Fujii 🚫 ($disable)
Domestic na Kanojo | Misaki Ogura 🚫 ($disable)
Domestic na Kanojo | Miu Ashihara 🚫 ($disable)
Domestic na Kanojo | Miyabi Serizawa 🚫 ($disable)
Domestic na Kanojo | Momo Kashiwabara 🚫 ($disable)
Domestic na Kanojo | Reiji Kiriya 🚫 ($disable)
Domestic na Kanojo | Rui Tachibana 🚫 ($disable)
Domestic na Kanojo | Tsukiko Tachibana 🚫 ($disable)
Estab-Life: Great Escape | Equa
Estab-Life: Great Escape | Ferres
Eureka Seven | Anemone 🚫 ($disable)
Eureka Seven | Diane Thurston 🚫 ($disable)
Eureka Seven | Eureka 🚫 ($disable)
Eureka Seven | Gidget 🚫 ($disable)
Eureka Seven | Hilda (ES) 🚫 ($disable)
Eureka Seven | Nirvash type The END 🚫 ($disable)
Eureka Seven | Nirvash type ZERO 🚫 ($disable)
Eureka Seven | Ray Beams 🚫 ($disable)
Eureka Seven | Sakuya (ES) 🚫 ($disable)
Eureka Seven | Talho Yuuki 🚫 ($disable)
FLCL Progressive | Hidomi Hibajiri 🚫 ($disable)
Full Metal Panic! | Kaname Chidori 🚫 ($disable)
Full Metal Panic! | Kyouko Tokiwa 🚫 ($disable)
Full Metal Panic! | Leonard Testarossa 🚫 ($disable)
Full Metal Panic! | Melissa Mao 🚫 ($disable)
Full Metal Panic! | Nami (FMP) 🚫 ($disable)
Full Metal Panic! | Sousuke Sagara 🚫 ($disable)
Full Metal Panic! | Teletha Testarossa 🚫 ($disable)
Full Metal Panic! | Yu Fan Xia 🚫 ($disable)
Full Metal Panic! | Yu Lan Xia 🚫 ($disable)
Fuufu Ijou, Koibito Miman. | Akari Watanabe 🚫 ($disable)
Fuufu Ijou, Koibito Miman. | Jirou Yakuin 🚫 ($disable)
Fuufu Ijou, Koibito Miman. | Shiori Sakurazaka 🚫 ($disable)
Gamers! | Chiaki Hoshinomori 🚫 ($disable)
Gamers! | Konoha Hoshinomori 🚫 ($disable)
Gatchaman Crowds | Tsubasa Misudachi
Gatchaman Crowds | Utsutsu Miya
Ginban Kaleidoscope | Tazusa Sakurano
Grimoire of Zero | Albus (GoZ) 🚫 ($disable)
Grimoire of Zero | Zero (GoZ) 🚫 ($disable)
Hashiri Tsuzukete Yokattatte. | Chikako Oomori
Hashiri Tsuzukete Yokattatte. | Kei Ikoma
Himouto! Umaru-chan | Nana Ebina 🚫 ($disable)
Hisone to Maso-tan | Hisone Amakasu 🚫 ($disable)
Hisone to Maso-tan | Masotan 🚫 ($disable)
Hisone to Maso-tan | Nao Kaizaki 🚫 ($disable)
Hoshi no Samidare | Yuuhi Amamiya 🚫 ($disable)
Houkago Saikoro Club | Emilia (HSC) 🚫 ($disable)
Houkago Saikoro Club | Midori Oono 🚫 ($disable)
IDOLY PRIDE | Ai Komiyama 🚫 ($disable)
IDOLY PRIDE | Aoi Igawa 🚫 ($disable)
IDOLY PRIDE | Chisa Shiraishi 🚫 ($disable)
IDOLY PRIDE | Haruko Saeki 🚫 ($disable)
IDOLY PRIDE | Kokoro Akazaki 🚫 ($disable)
IDOLY PRIDE | Kotono Nagase 🚫 ($disable)
IDOLY PRIDE | Mana Nagase 🚫 ($disable)
IDOLY PRIDE | Mei Hayasaka 🚫 ($disable)
IDOLY PRIDE | Nagisa Ibuki 🚫 ($disable)
IDOLY PRIDE | Rei Ichinose 🚫 ($disable)
IDOLY PRIDE | Rio Kanzaki 🚫 ($disable)
IDOLY PRIDE | Rui Tendo 🚫 ($disable)
IDOLY PRIDE | Saki Shiraishi 🚫 ($disable)
IDOLY PRIDE | Sakura Kawasaki 🚫 ($disable)
IDOLY PRIDE | Shizuku Hyodo 🚫 ($disable)
IDOLY PRIDE | Sumire Okuyama 🚫 ($disable)
IDOLY PRIDE | Suzu Narumiya 🚫 ($disable)
IDOLY PRIDE | Yu Suzumura 🚫 ($disable)
Irozuku Sekai no Ashita kara | Chiguza Fukazawa
Irozuku Sekai no Ashita kara | Yuito Aoi
Isekai Cheat Magician | Rin Azuma 🚫 ($disable)
Isekai wa Smartphone to Tomo ni. | Elze Silhoueska 🚫 ($disable)
Isekai wa Smartphone to Tomo ni. | Francesca 🚫 ($disable)
Isekai wa Smartphone to Tomo ni. | Hildegard Minas Lestia 🚫 ($disable)
Isekai wa Smartphone to Tomo ni. | Leen 🚫 ($disable)
Isekai wa Smartphone to Tomo ni. | Linze Silhoueska 🚫 ($disable)
Isekai wa Smartphone to Tomo ni. | Lucia Rea Regulus 🚫 ($disable)
Isekai wa Smartphone to Tomo ni. | Tsubaki (IwS) 🚫 ($disable)
Isekai wa Smartphone to Tomo ni. | Yae Kokonoe 🚫 ($disable)
Isekai wa Smartphone to Tomo ni. | Yumina Urnea Belfast 🚫 ($disable)
Jinsei | Ayaka Nikaidou 🚫 ($disable)
Jinsei | Emi Murakami 🚫 ($disable)
Jinsei | Fumi Kujou 🚫 ($disable)
Jinsei | Ikumi Suzuki 🚫 ($disable)
Jinsei | Rino Endou 🚫 ($disable)
Kageki Shoujo!! | Ai Narata 🚫 ($disable)
Kageki Shoujo!! | Ayako Yamada 🚫 ($disable)
Kageki Shoujo!! | Kaoru Hoshino 🚫 ($disable)
Kageki Shoujo!! | Sarasa Watanabe 🚫 ($disable)
Kageki Shoujo!! | Sawa Sugimoto 🚫 ($disable)
Kaijin Kaihatsubu no Kuroitsu-san | Akashic
Kaijin Kaihatsubu no Kuroitsu-san | Hydra (KKnK)
Kaijin Kaihatsubu no Kuroitsu-san | Touka Kuroitsu
Kakkou no Iinazuke | Ai Mochizuki 🚫 ($disable)
Kakkou no Iinazuke | Erika Amano 🚫 ($disable)
Kakkou no Iinazuke | Hiro Segawa 🚫 ($disable)
Kakkou no Iinazuke | Sachi Umino 🚫 ($disable)
Kamisama no Inai Nichiyoubi | Ai 🚫 ($disable)
Kamisama no Inai Nichiyoubi | Alice Color 🚫 ($disable)
Kamisama no Inai Nichiyoubi | Dee Ensy Stratmitos 🚫 ($disable)
Kamisama no Inai Nichiyoubi | Hampnie Hambart 🚫 ($disable)
Kamisama no Inai Nichiyoubi | Scar (KamiNai) 🚫 ($disable)
Kamisama no Inai Nichiyoubi | Ulla Eulesse Hecmatika 🚫 ($disable)
Kamisama no Memochou | Alice (KnM) 🚫 ($disable)
Kamisama no Memochou | Ayaka Shinozaki 🚫 ($disable)
Kamisama no Memochou | Meo Kusakabe 🚫 ($disable)
Kamisama no Memochou | Ming Li Huang 🚫 ($disable)
Kamisama no Memochou | Narumi Fujishima 🚫 ($disable)
Kannagi | Jin Mikuriya 🚫 ($disable)
Kannagi | Tsugumi Aoba 🚫 ($disable)
Kannagi | Zange 🚫 ($disable)
Kanojo mo Kanojo | Saki Saki 🚫 ($disable)
Katanagatari | Hitei 🚫 ($disable)
Kenkou Zenrakei Suieibu Umishou | Amuro Ninagawa 🚫 ($disable)
Kenkou Zenrakei Suieibu Umishou | Momoko Orizuka 🚫 ($disable)
Kidou Keisatsu Patlabor | Hiromi Yamazaki 🚫 ($disable)
Kidou Keisatsu Patlabor | Kanuka Clancy 🚫 ($disable)
Kidou Keisatsu Patlabor | Noa Izumi 🚫 ($disable)
Kidou Keisatsu Patlabor | Shinobu Nagumo 🚫 ($disable)
Kimi to Boku no Saigo no Senjou, Arui wa Sekai ga Hajimaru Seisen | Aliceliese Lou Nebulis IX 🚫 ($disable)
Kimi to Boku no Saigo no Senjou, Arui wa Sekai ga Hajimaru Seisen | Iska 🚫 ($disable)
Koi to Uso | Shuu Igarashi 🚫 ($disable)
Koi wa Sekai Seifuku no Ato de | Desumi Magahara 🚫 ($disable)
Koi wa Sekai Seifuku no Ato de | Fudou Aikawa 🚫 ($disable)
Koi wa Sekai Seifuku no Ato de | Ranran (KSSA) 🚫 ($disable)
Koi wa Sekai Seifuku no Ato de | Urami Magahara 🚫 ($disable)
Kujira no Kora wa Sajou ni Utau | Nibi 🚫 ($disable)
Kumo Desu ga, Nani ka? | Kumoko 🚫 ($disable)
Kuroko no Basuke | Riko Aida 🚫 ($disable)
Leadale no Daichi nite | Cayna 🚫 ($disable)
Listeners | Myuu
Little Witch Academia | Andrew Hanbridge 🚫 ($disable)
Magic Kaito | Aoko Nakamori 🚫 ($disable)
Magic Kaito | Kaito Kuroba 🚫 ($disable)
Mahoromatic | Mahoro Andou
Mahoromatic | Minawa Andou
Mahoromatic | Rin Todoroki (MR)
Mahoromatic | Saori Shikijo
Mahoromatic | Sera (MR)
Mahoromatic | Suguru Misato
Mahou no Star Magical Emi | Mai Kazuki 🚫 ($disable)
Mahoutsukai no Yome | Ruth 🚫 ($disable)
Mahoutsukai Reimeiki | Holt (MR) 🚫 ($disable)
Mahoutsukai Reimeiki | Roux Cristasse 🚫 ($disable)
Masamune-kun no Revenge | Neko Fujinomiya 🚫 ($disable)
Mayoi Neko Overrun! | Chise Umenomori 🚫 ($disable)
Mayoi Neko Overrun! | Fumino Serizawa 🚫 ($disable)
Mayoi Neko Overrun! | Nozomi Kiriya 🚫 ($disable)
Medaka Box | Aoki Aka 🚫 ($disable)
Medaka Box | Bukiko Udou 🚫 ($disable)
Medaka Box | Fue Yobuko 🚫 ($disable)
Medaka Box | Hansode Shiranui 🚫 ($disable)
Medaka Box | Hato Tsurubami 🚫 ($disable)
Medaka Box | Hitomi Hitoyoshi 🚫 ($disable)
Medaka Box | Itami Koga 🚫 ($disable)
Medaka Box | Joutou Kotobuki 🚫 ($disable)
Medaka Box | Kakegae Yuzuriha 🚫 ($disable)
Medaka Box | Kenna Yatsushiro 🚫 ($disable)
Medaka Box | Kiruko Tachiarai 🚫 ($disable)
Medaka Box | Medaka Kurokami 🚫 ($disable)
Medaka Box | Mogana Kikaijima 🚫 ($disable)
Medaka Box | Mogura Kugurugi 🚫 ($disable)
Medaka Box | Momo Momozono (MB) 🚫 ($disable)
Medaka Box | Mukae Emukae 🚫 ($disable)
Medaka Box | Myouga Unzen 🚫 ($disable)
Medaka Box | Najimi Ajimu 🚫 ($disable)
Medaka Box | Namanie Nienami 🚫 ($disable)
Medaka Box | Nashi Kurokami 🚫 ($disable)
Medaka Box | Nekomi Nabeshima 🚫 ($disable)
Medaka Box | Otome Yunomae 🚫 ($disable)
Medaka Box | Saki Sukinasaki 🚫 ($disable)
Medaka Box | Shibuki Shibushi 🚫 ($disable)
Medaka Box | Shori Wanizuka 🚫 ($disable)
Medaka Box | Sui Kanaino 🚫 ($disable)
Medaka Box | Suishou Kibougaoka 🚫 ($disable)
Medaka Box | Tsue Kamimutsuro 🚫 ($disable)
Medaka Box | Tsugiha Yojirou 🚫 ($disable)
Medaka Box | Uzume Megusuno 🚫 ($disable)
Medaka Box | Yabumi Juunichou 🚫 ($disable)
Medaka Box | Youka Naze 🚫 ($disable)
Meiji Tokyo Renka | Hishida Shunsou
Meiji Tokyo Renka | Mei Ayazuki
Meiji Tokyo Renka | Otojirou Kawakami
Michiko to Hatchin | Michiko Malandro 🚫 ($disable)
Michiko to Hatchin | Morenos Hana 🚫 ($disable)
Midara na Ao-chan wa Benkyou ga Dekinai | Ao Horie 🚫 ($disable)
Midori Days | Midori Kasugano 🚫 ($disable)
Midori Days | Takako Ayase 🚫 ($disable)
Mikakunin de Shinkoukei | Benio Yonomori 🚫 ($disable)
Mikakunin de Shinkoukei | Mayura Momouchi 🚫 ($disable)
Momokuri | Ikue Usami 🚫 ($disable)
Momokuri | Norika Mizuyama 🚫 ($disable)
Momokuri | Rio Sakaki 🚫 ($disable)
Momokuri | Shinya Momotsuki 🚫 ($disable)
Momokuri | Yuki Kurihara 🚫 ($disable)
Momokuri | Yuzuki Shimada 🚫 ($disable)
Monster | Anna Liebert 🚫 ($disable)
Monster | Eva Heinemann 🚫 ($disable)
Monster | Johan Liebert 🚫 ($disable)
Morita-san wa Mukuchi | Mayu Morita
My Girlfriend is Shobitch | Akiho Kousaka 🚫 ($disable)
My Master has no Tail | Daikokutei Bunko 🚫 ($disable)
Nurarihyon no Mago | Tsurara Oikawa 🚫 ($disable)
Onii-chan wa Oshimai! | Asahi Oka 🚫 ($disable)
Onii-chan wa Oshimai! | Kaede Hozuki 🚫 ($disable)
Onii-chan wa Oshimai! | Mahiro Oyama 🚫 ($disable)
Onii-chan wa Oshimai! | Mihari Oyama 🚫 ($disable)
Onii-chan wa Oshimai! | Miyo Murosaki 🚫 ($disable)
Onii-chan wa Oshimai! | Momiji Hozuki 🚫 ($disable)
Ookami to Koushinryou | Kraft Lawrence 🚫 ($disable)
Ookami to Koushinryou | Tote Col 🚫 ($disable)
Ookami-san Series | Morino Ryoushi 🚫 ($disable)
Ookami-san Series | Ryouko Ookami 🚫 ($disable)
Ore no Imouto ga Konnani Kawaii Wake ga Nai | Kyousuke Kousaka 🚫 ($disable)
Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru | Ayame Reikadou 🚫 ($disable)
Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru | Chocolat 🚫 ($disable)
Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru | Furano Yukihira 🚫 ($disable)
Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru | Ouka Yuuouji 🚫 ($disable)
Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru | Seira Kokubyakuin 🚫 ($disable)
Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru | Yuragi Hakoniwa 🚫 ($disable)
Pandora Hearts | Alice (PH) 🚫 ($disable)
Pandora Hearts | Lacie Baskerville 🚫 ($disable)
Pandora Hearts | Noise Baskerville 🚫 ($disable)
Pandora Hearts | Will of the Abyss 🚫 ($disable)
Phantom | Claudia McCunnen 🚫 ($disable)
Phantom | Zwei 🚫 ($disable)
Poyopoyo Kansatsu Nikki | Moe Satou
Project A-ko | Ayumi-sensei
RE-MAIN | Minato Kiyomizu
Recorder to Randoseru Do | Atsumi Miyagawa
Recorder to Randoseru Do | Atsushi Miyagawa
Recorder to Randoseru Do | Hina-chan
Recorder to Randoseru Do | Sayo Takahashi
Recorder to Randoseru Do | Take-nii
Sankarea | Rea Sanka 🚫 ($disable)
Sarazanmai | Sara Azuma
Sarazanmai | Toi Kuji
Sasaki to Miyano | Gonzaburou Tashiro 🚫 ($disable)
Sasaki to Miyano | Tasuku Kuresawa 🚫 ($disable)
Sasaki to Miyano | Yoshikazu Miyano 🚫 ($disable)
Seikyouiku 120% | Kashiwa 🚫 ($disable)
Seikyouiku 120% | Matsuda (S120) 🚫 ($disable)
Seikyouiku 120% | Moriya 🚫 ($disable)
Seikyouiku 120% | Naoko Tsuji 🚫 ($disable)
Servant x Service | Megumi Chihaya 🚫 ($disable)
Servant x Service | Saya Miyoshi 🚫 ($serverdisable)
Servant x Service | Touko Ichimiya 🚫 ($disable)
Shiguang Daili Ren | Cheng Xiaoshi
Shiguang Daili Ren | Emma (SDR)
Shiguang Daili Ren | Liu Min
Shiguang Daili Ren | Qiao Ling
Shiguang Daili Ren | Xu Shanshan
Shiro Seijo to Kuro Bokushi | Haizelita Aldridge 🚫 ($disable)
Shiro Seijo to Kuro Bokushi | Pastor Lawrence 🚫 ($disable)
Shiro Seijo to Kuro Bokushi | Saint Cecilia 🚫 ($disable)
Shokei Shoujo no Ikiru Michi | Akari Tokitou 🚫 ($disable)
Slow Loop | Futaba Fukumoto 🚫 ($disable)
Slow Loop | Hiyori Minagi 🚫 ($disable)
Slow Loop | Ichika Fukumoto 🚫 ($disable)
Slow Loop | Koharu Minagi 🚫 ($disable)
Sono Bisque Doll wa Koi wo Suru | Akira (BD) 🚫 ($disable)
Sono Bisque Doll wa Koi wo Suru | Nowa Sugaya 🚫 ($disable)
Sono Bisque Doll wa Koi wo Suru | Sajuna Inui 🚫 ($disable)
Sono Bisque Doll wa Koi wo Suru | Shinju Inui 🚫 ($disable)
Sono Shukujo wa Guuzou to Naru | Himemiya Sakurako
SPY×FAMILY | Damian Desmond 🚫 ($disable)
SPY×FAMILY | Loid Forger 🚫 ($disable)
Stella no Mahou | Ayame Seki 🚫 ($disable)
Stella no Mahou | Kayo Fujikawa 🚫 ($disable)
Stella no Mahou | Nono Iketani 🚫 ($disable)
Stella no Mahou | Shiina Murakami 🚫 ($disable)
Stella no Mahou | Tamaki Honda 🚫 ($disable)
Stella no Mahou | Teru Hyakutake 🚫 ($disable)
Stella no Mahou | Yumine Fuda 🚫 ($disable)
The Pilot's Love Song | Ariel Albus 🚫 ($disable)
The Pilot's Love Song | Claire Cruz 🚫 ($disable)
Touch | Minami Asakura 🚫 ($disable)
Tsuki to Laika to Nosferatu | Anya Simonyan 🚫 ($disable)
Tsuki to Laika to Nosferatu | Irina Luminesk 🚫 ($disable)
Tsuritama | Akira Agarkar Yamada
Tsuritama | Haru (Tsuritama)
Tsuritama | Yuki Sanada
Tsurune: Kazemai Koukou Kyuudoubu | Kaito Onogi
Tsurune: Kazemai Koukou Kyuudoubu | Manji Sugawara
Tsurune: Kazemai Koukou Kyuudoubu | Masaki Takigawa
Tsurune: Kazemai Koukou Kyuudoubu | Minato Narumiya
Tsurune: Kazemai Koukou Kyuudoubu | Nanao Kisaragi
Tsurune: Kazemai Koukou Kyuudoubu | Ryouhei Yamanouchi
Tsurune: Kazemai Koukou Kyuudoubu | Seiya Takehaya
Tsurune: Kazemai Koukou Kyuudoubu | Shuu Fujiwara
Umibe no Étranger | Mio Chibana 🚫 ($disable)
URAHARA | Kotoko Watatsumugi
URAHARA | Rito Sudou
Uramichi Oniisan | Hanbee Kikaku 🚫 ($disable)
Uramichi Oniisan | Iketeru Daga 🚫 ($disable)
Uramichi Oniisan | Mitsuo Kumatani 🚫 ($disable)
Uramichi Oniisan | Tobikichi Usahara 🚫 ($disable)
Uramichi Oniisan | Uramichi Omota 🚫 ($disable)
Uramichi Oniisan | Utano Tadano 🚫 ($disable)
Urusei Yatsura | Sakura (UY) 🚫 ($disable)
Ushio to Tora | Asako Nakamura 🚫 ($disable)
Ushio to Tora | Hakumen no Mono 🚫 ($disable)
Ushio to Tora | Mayuko Inoue 🚫 ($disable)
Ushio to Tora | Nagare Akiba 🚫 ($disable)
Ushio to Tora | Reiko Hanyuu 🚫 ($disable)
Ushio to Tora | Saya Takatori 🚫 ($disable)
Ushio to Tora | Yuu Hiyama 🚫 ($disable)
Usotsuki Satsuki Shi ga Mieru | Akira Atou
Vanitas no Carte | Chloé D'Apchier 🚫 ($disable)
Vanitas no Carte | Dominique de Sade 🚫 ($disable)
Vanitas no Carte | Jeanne 🚫 ($disable)
Vanitas no Carte | No. 69 🚫 ($disable)
Vanitas no Carte | Veronica de Sade 🚫 ($disable)
Witchblade | Maria (WB)
Witchblade | Masane Amaha
Witchblade | Reina Soho
Witchblade | Rihoko Amaha
Yahari Ore no Seishun Love Comedy wa Machigatteiru. | Kaori Orimoto 🚫 ($disable)
Yahari Ore no Seishun Love Comedy wa Machigatteiru. | Minami Sagami 🚫 ($disable)
Yahari Ore no Seishun Love Comedy wa Machigatteiru. | Mother Yukinoshita 🚫 ($disable)
Yofukashi no Uta | Akira Asai 🚫 ($disable)
Yofukashi no Uta | Midori Kohakobe 🚫 ($disable)
Yuri Kuma Arashi | Ginko Yurishiro
Yuri Kuma Arashi | Lulu Yurigasaki
Yuri Kuma Arashi | Mitsuko Yurizono
Yuri Kuma Arashi | Sumika Izumino
Yuri Kuma Arashi | Yurika Hakonaka
Yuri!!! on Ice | Mila Babicheva
Yuri!!! on Ice | Minako Okukawa
Yuri!!! on Ice | Yuuko Nishigori
Yuusha ga Shinda!: Murabito no Ore ga Hotta Otoshiana ni Yuusha ga Ochita Kekka. | Anri Haynesworth 🚫 ($disable)

--- movie ---
Birthday Wonderland | Pipo
Boku wa Robot Goshi no Kimi ni Koi wo Suru | Saki Amano 🚫 ($disable)
Children of the Sea | Ruka (CotS) 🚫 ($disable)
Children of the Sea | Sora (CotS) 🚫 ($disable)
Children of the Sea | Umi 🚫 ($disable)
Colorful | Makoto Kobayashi
Colorful | Purapura
Doukyuusei | Hikaru Kusakabe 🚫 ($disable)
Doukyuusei | Manabu Hara 🚫 ($disable)
Doukyuusei | Rihito Sajou 🚫 ($disable)
Doukyuusei | Sorano Aoto 🚫 ($disable)
Eiga Daisuki Pompo-san | Joelle Davidovich Pomponette 🚫 ($disable)
Eve no Jikan | Akiko (EnJ) 🚫 ($disable)
Eve no Jikan | Chie (EnJ) 🚫 ($disable)
Eve no Jikan | Nagi (EnJ) 🚫 ($disable)
Eve no Jikan | Rina (EnJ) 🚫 ($disable)
Eve no Jikan | Sammy 🚫 ($disable)
